runID,datetime,no_robots,light_generation_chance,formation,time_passed,timestep
0,15-04-2023_14-24-59,10,0.001,1,71904,32
1,15-04-2023_14-25-07,10,0.001,2,88160,32
2,15-04-2023_14-25-16,10,0.001,3,20576,32
3,15-04-2023_14-25-20,10,0.001,4,122848,32
4,15-04-2023_14-25-32,10,0.001,5,45280,32
5,15-04-2023_14-25-38,10,0.001,6,71968,32
6,15-04-2023_14-25-47,10,0.001,7,132896,32
7,15-04-2023_14-26-01,10,0.005,1,114720,32
8,15-04-2023_14-26-18,10,0.005,2,600032,32
9,15-04-2023_14-27-49,10,0.005,3,23520,32
10,15-04-2023_14-27-53,10,0.005,4,254048,32
11,15-04-2023_14-28-28,10,0.005,5,47360,32
12,15-04-2023_14-28-35,10,0.005,6,600032,32
13,15-04-2023_14-29-54,10,0.005,7,600032,32
14,15-04-2023_14-31-16,10,0.01,1,600032,32
15,15-04-2023_14-32-43,10,0.01,2,600032,32
16,15-04-2023_14-34-08,10,0.01,3,600032,32
17,15-04-2023_14-35-37,10,0.01,4,600032,32
18,15-04-2023_14-37-04,10,0.01,5,600032,32
19,15-04-2023_14-38-34,10,0.01,6,600032,32
20,15-04-2023_14-40-02,10,0.01,7,600032,32
21,15-04-2023_19-43-56,10,0.001,1,74912,32
22,15-04-2023_19-44-05,10,0.001,2,108192,32
23,15-04-2023_19-44-16,10,0.001,3,20896,32
24,15-04-2023_19-44-21,10,0.001,4,117600,32
25,15-04-2023_19-44-32,10,0.001,5,63040,32
26,15-04-2023_19-44-40,10,0.001,6,97792,32
